id	text	morphemes
1	भारत में आज कई महत्वपूर्ण घटनाएं हुईं।	भारत में आज कई महत्व पूर्ण घटना एं हो ईं ।
2	राजधानी दिल्ली में मौसम सुहावना है।	राज धानी दिल्ली में मौसम सुहावना है ।
3	नई दिल्ली में आज एक बड़ी बैठक हुई।	नई दिल्ली में आज एक बड़ा ई बैठक हो ई ।
4	शिक्षा प्रणाली में सुधार की आवश्यकता है।	शिक्षा प्रणाली में सुधार का ई आवश्यक ता है ।
5	विज्ञान और प्रौद्योगिकी के क्षेत्र में प्रगति हो रही है।	विज्ञान और प्रौद्योगिकी का ए क्षेत्र में प्रगति हो रह ई है ।
6	खेलों में भारत ने अच्छा प्रदर्शन किया।	खेल ओं में भारत ने अच्छा प्रदर्शन कर या ।
7	स्वास्थ्य सेवाओं में सुधार हो रहा है।	स्वास्थ्य सेवा ओं में सुधार हो रह आ है ।
8	अर्थव्यवस्था में वृद्धि देखी जा रही है।	अर्थ व्यवस्था में वृद्धि देख ई जा रह ई है ।
9	संस्कृति और परंपराओं का संरक्षण महत्वपूर्ण है।	संस्कृति और परंपरा ओं का संरक्षण महत्व पूर्ण है ।
10	युवाओं के लिए रोजगार के अवसर बढ़ रहे हैं।	युवा ओं का ए लिए रोजगार का ए अवसर बढ़ रह ए हैं ।
11	यहाँ आपका हिंदी वाक्य जाएगा।	यहाँ आप का हिंदी वाक्य जा एगा ।
12	रेलगाड़ी स्टेशन पर आ गई।	रेल गाड़ी स्टेशन पर आ गई ।
13	भारत एक विविधतापूर्ण देश है।	भारत एक विविधता पूर्ण देश है ।
14	मैं कल दिल्ली जाऊँगा।	मैं कल दिल्ली जा ऊँगा ।
15	कंप्यूटर विज्ञान एक आधुनिक विषय है।	कंप्यूटर विज्ञान एक आधुनिक विषय है ।
16	सूर्योदय के समय आकाश बहुत सुंदर दिखता है।	सूर्य उदय का ए समय आकाश बहुत सुंदर दिख ता है ।
17	आज मौसम बहुत अच्छा है।	आज मौसम बहुत अच्छा है ।
18	विश्वविद्यालय में पढ़ाई करना महत्वपूर्ण है।	विश्व विद्यालय में पढ़ाई कर ना महत्व पूर्ण है ।
19	मुझे चाय पीनी है।	मुझ ए चाय पी नी है ।
20	स्वतंत्रता दिवस पर देशभर में उत्सव मनाया जाता है।	स्वतंत्रता दिवस पर देश भर में उत्सव मना या जा ता है ।
21	कविता लिखना मेरा शौक है।	कविता लिख ना मेरा शौक है ।
22	इंटरनेट के माध्यम से जानकारी प्राप्त करना आसान हो गया है।	इंटरनेट का ए माध्यम से जानकारी प्राप्त कर ना आसान हो गया है ।
23	बच्चे खेल रहे हैं।	बच्च ए खेल रह ए हैं ।
24	संस्कृति और परंपरा हमारी पहचान है।	संस्कृति और परंपरा हमारी पहचान है ।
25	मोबाइल फोन आजकल सभी के पास है।	मोबाइल फोन आजकल सभी का ए पास है ।
26	प्रकृति की सुंदरता अद्भुत है।	प्रकृति का ई सुंदरता अद्भुत है ।
27	शिक्षा सबसे महत्वपूर्ण है।	शिक्षा सबसे महत्व पूर्ण है ।
28	सोशल मीडिया पर लोग अपनी राय व्यक्त करते हैं।	सोशल मीडिया पर लोग अपनी राय व्यक्त कर ते हैं ।
29	खाना बनाना एक कला है।	खाना बना ना एक कला है ।
30	वैज्ञानिक शोध नए आविष्कार लाते हैं।	वैज्ञानिक शोध नए आविष्कार ला ते हैं ।
31	पुस्तकालय में कई किताबें हैं।	पुस्तकालय में कई किताब एं हैं ।
32	सरकार ने नई योजना शुरू की है।	सरकार ने नई योजना शुरू का ई है ।
33	बच्चों को शिक्षा देना जरूरी है।	बच्च ओं को शिक्षा दे ना जरूरी है ।
34	किसान खेत में काम कर रहे हैं।	किसान खेत में काम कर रह ए हैं ।
35	महिलाओं को समान अधिकार मिलना चाहिए।	महिला ओं को समान अधिकार मिल ना चाहिए ।
36	व्यापार में नई तकनीक का उपयोग हो रहा है।	व्यापार में नई तकनीक का उपयोग हो रह आ है ।
37	स्वास्थ्य सेवाएं सुधर रही हैं।	स्वास्थ्य सेवा एं सुधर रह ई हैं ।
38	पर्यावरण संरक्षण आवश्यक है।	पर्यावरण संरक्षण आवश्यक है ।
39	युवा पीढ़ी में जागरूकता बढ़ रही है।	युवा पीढ़ी में जागरूकता बढ़ रह ई है ।
40	सामाजिक न्याय के लिए संघर्ष जारी है।	सामाजिक न्याय का ए लिए संघर्ष जारी है ।
41	शहरों में जनसंख्या बढ़ रही है।	शहर ओं में जनसंख्या बढ़ रह ई है ।
42	गांवों में विकास की गति धीमी है।	गांव ओं में विकास का ई गति धीमी है ।
43	शिक्षकों को सम्मान मिलना चाहिए।	शिक्षक ओं को सम्मान मिल ना चाहिए ।
44	विद्यार्थियों के लिए पुस्तकालय खोला गया है।	विद्यार्थी ओं का ए लिए पुस्तकालय खोल आ गया है ।
45	कलाकारों ने सुंदर कलाकृतियां बनाई हैं।	कलाकार ओं ने सुंदर कलाकृति यां बना ई हैं ।
46	वैज्ञानिकों ने नई खोज की है।	वैज्ञानिक ओं ने नई खोज का ई है ।
47	लेखकों की किताबें पढ़ने योग्य हैं।	लेखक ओं का ई किताब एं पढ़ ने योग्य हैं ।
48	अभिनेताओं ने अच्छा प्रदर्शन किया।	अभिनेता ओं ने अच्छा प्रदर्शन कर या ।
49	खिलाड़ियों ने मैच जीता है।	खिलाड़ी ओं ने मैच जीत आ है ।
50	कर्मचारियों को वेतन मिला है।	कर्मचारी ओं को वेतन मिल आ है ।
51	नागरिकों के अधिकारों की रक्षा होनी चाहिए।	नागरिक ओं का ए अधिकार ओं का ई रक्षा हो नी चाहिए ।
52	बच्चों की शिक्षा पर ध्यान देना चाहिए।	बच्च ओं का ई शिक्षा पर ध्यान दे ना चाहिए ।
53	महिलाओं की सुरक्षा महत्वपूर्ण है।	महिला ओं का ई सुरक्षा महत्व पूर्ण है ।
54	युवाओं के लिए रोजगार के अवसर बनाए जाने चाहिए।	युवा ओं का ए लिए रोजगार का ए अवसर बना ए जा ने चाहिए ।
55	वृद्धों की देखभाल करनी चाहिए।	वृद्ध ओं का ई देखभाल कर नी चाहिए ।
56	गरीबों की मदद करनी चाहिए।	गरीब ओं का ई मदद कर नी चाहिए ।
57	असहायों को सहायता मिलनी चाहिए।	असहाय ओं को सहायता मिल नी चाहिए ।
58	बेरोजगारों के लिए नौकरियां उपलब्ध कराई जानी चाहिए।	बेरोजगार ओं का ए लिए नौकरी यां उपलब्ध करा ई जा नी चाहिए ।
59	किसानों को उचित मूल्य मिलना चाहिए।	किसान ओं को उचित मूल्य मिल ना चाहिए ।
60	मजदूरों के हक की लड़ाई जारी है।	मजदूर ओं का ए हक का ई लड़ाई जारी है ।
61	शिक्षकों की समस्याओं का समाधान होना चाहिए।	शिक्षक ओं का ई समस्या ओं का समाधान हो ना चाहिए ।
62	डॉक्टरों ने मरीजों का इलाज किया है।	डॉक्टर ओं ने मरीज ओं का इलाज कर या है ।
63	इंजीनियरों ने नई तकनीक विकसित की है।	इंजीनियर ओं ने नई तकनीक विकसित का ई है ।
64	वकीलों ने मुकदमा जीता है।	वकील ओं ने मुकदमा जीत आ है ।
65	पुलिसकर्मियों ने अपराधियों को पकड़ा है।	पुलिसकर्मी ओं ने अपराधी ओं को पकड़ आ है ।
66	सैनिकों ने देश की रक्षा की है।	सैनिक ओं ने देश का ई रक्षा का ई है ।
67	नर्सों ने मरीजों की देखभाल की है।	नर्स ओं ने मरीज ओं का ई देखभाल का ई है ।
68	अध्यापकों ने विद्यार्थियों को पढ़ाया है।	अध्यापक ओं ने विद्यार्थी ओं को पढ़ा या है ।
69	प्रोफेसरों ने शोध किया है।	प्रोफेसर ओं ने शोध कर या है ।
70	वैज्ञानिकों ने प्रयोग किया है।	वैज्ञानिक ओं ने प्रयोग कर या है ।
71	कलाकारों ने प्रदर्शनी लगाई है।	कलाकार ओं ने प्रदर्शनी लगा ई है ।
72	लेखकों ने किताबें लिखी हैं।	लेखक ओं ने किताब एं लिख ई हैं ।
73	कवियों ने कविताएं लिखी हैं।	कवि ओं ने कविता एं लिख ई हैं ।
74	गायकों ने गाने गाए हैं।	गायक ओं ने गान ए गा ए हैं ।
75	नर्तकों ने नृत्य किया है।	नर्तक ओं ने नृत्य कर या है ।
76	अभिनेताओं ने नाटक किया है।	अभिनेता ओं ने नाटक कर या है ।
77	निर्देशकों ने फिल्म बनाई है।	निर्देशक ओं ने फिल्म बना ई है ।
78	फोटोग्राफरों ने तस्वीरें खींची हैं।	फोटोग्राफर ओं ने तस्वीर एं खींच ई हैं ।
79	पत्रकारों ने खबरें लिखी हैं।	पत्रकार ओं ने खबर एं लिख ई हैं ।
80	संपादकों ने अखबार संपादित किया है।	संपादक ओं ने अखबार संपादित कर या है ।
81	व्यापारियों ने व्यापार बढ़ाया है।	व्यापारी ओं ने व्यापार बढ़ा या है ।
82	उद्यमियों ने नई कंपनियां शुरू की हैं।	उद्यमी ओं ने नई कंपनी यां शुरू का ई हैं ।
83	बैंकरों ने ऋण दिया है।	बैंकर ओं ने ऋण दिया है ।
